0|300.59|278.23|292.2|274.81|303.87|263.3|312.17|2025.17|2123.0
1|9.25|3.53|6.82|6.6|6.71|8.68|13.51|55.1|37.0
2|32.5|39.8|33.07|31.0|33.84|33.0|33.34|236.55|257.0
3|455.75|443.93|330.03|392.79|391.48|416.59|407.49|2838.06|3041.0
4|296.78|304.56|310.63|303.09|285.91|313.07|319.16|2133.2|2082.0
5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
6|184.32|169.02|202.76|184.41|194.58|172.16|187.37|1294.62|1259.0
7|82.01|240.18|100.84|86.81|129.07|70.5|85.45|794.86|743.0
8|254.37|37.71|151.6|243.24|398.8|437.07|430.67|1953.46|2773.0
9|228.21|243.78|203.26|193.63|236.66|216.76|229.22|1551.52|1528.0
10|2.9|1.67|6.86|18.56|13.12|19.46|16.11|78.68|112.0
11|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
12|3.47|2.94|6.21|10.33|9.93|10.34|6.5|49.72|60.0
13|60.42|59.11|76.37|72.76|73.77|63.42|65.3|471.15|434.0
14|150.97|148.94|124.78|124.36|131.41|167.7|161.81|1009.97|1055.0
15|214.85|332.88|246.93|233.11|255.26|261.7|242.1|1786.83|1862.0
16|331.17|286.45|292.89|298.04|306.96|308.14|325.48|2149.13|2430.0
17|295.17|264.64|260.86|241.5|287.51|268.76|256.73|1875.17|1847.0
18|804.1|625.98|751.36|706.72|756.07|676.72|656.33|4977.28|5043.0
19|411.31|385.16|433.66|405.59|410.97|429.95|527.31|3003.95|3421.0
20|21.8|26.34|37.25|18.77|15.77|17.95|10.53|148.41|126.0
21|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
22|170.33|159.68|85.33|50.64|53.01|41.9|56.95|617.84|594.0
23|110.91|136.1|97.92|119.38|141.93|132.82|138.1|877.16|805.0
24|232.91|196.69|185.64|211.64|180.17|236.1|218.07|1461.22|1617.0
25|248.57|342.29|276.13|283.63|356.32|308.77|304.32|2120.03|2179.0
26|648.18|552.73|567.02|565.02|584.51|547.93|537.85|4003.24|3887.0
27|81.18|48.54|109.37|136.36|163.61|185.42|156.34|880.82|1000.0
28|99.78|86.44|102.71|83.29|84.85|86.18|104.56|647.81|664.0
29|141.8|0.67|364.61|343.87|353.74|335.44|296.67|1836.8|1711.0
30|455.25|368.01|377.68|396.06|410.66|332.55|339.2|2679.41|2489.0
31|502.6|546.53|537.48|553.22|548.85|549.76|524.48|3762.92|3804.0
32|276.28|264.82|269.11|239.47|257.72|252.03|303.23|1862.66|1945.0
33|2851.69|2735.09|2468.03|2399.21|2397.51|2264.39|2108.45|17224.37|13954.0
34|48.83|54.26|53.54|63.74|60.53|63.73|62.07|406.7|585.0
35|71.67|78.92|73.95|81.17|76.66|85.2|87.77|555.34|596.0
36|325.47|353.78|3406.42|3942.6|3552.58|2910.65|2155.48|16646.98|13429.0
37|152.94|98.08|102.3|130.31|163.14|176.22|177.85|1000.84|956.0
38|274.17|291.17|244.93|263.27|263.52|274.17|280.33|1891.56|1899.0
39|480.23|426.88|397.24|430.46|391.44|415.86|399.08|2941.19|2920.0
40|73.78|87.98|88.31|83.03|76.03|68.59|71.2|548.92|510.0
41|81.57|94.99|110.25|75.01|60.48|72.31|64.13|558.74|574.0
42|2369.63|1608.9|18576.61|18246.4|17218.15|17740.39|18553.85|94313.93|94699.0
43|253.75|289.43|281.39|245.5|280.54|294.76|277.94|1923.31|2039.0
44|152.07|172.22|158.98|153.18|122.89|133.73|91.23|984.3|690.0
45|218.37|229.77|203.89|218.28|214.5|210.97|201.4|1497.18|1263.0
46|95.54|72.65|56.79|37.78|51.68|158.59|135.05|608.08|515.0
